Source,Target,Hamming
0,1,1.680000
0,2,1.360000
0,3,1.280000
0,4,1.920000
0,5,1.440000
0,6,1.440000
0,7,1.600000
0,8,0.320000
0,9,1.400000
0,A,1.680000
0,B,0.800000
0,C,0.960000
0,D,0.480000
0,E,1.280000
0,F,1.680000
0,G,1.120000
0,H,1.920000
0,I,1.920000
0,J,1.760000
0,K,2.560000
0,L,1.600000
0,M,1.920000
0,N,1.760000
0,O,0.160000
0,P,1.600000
0,Q,0.440000
0,R,1.600000
0,S,1.200000
0,T,1.920000
0,U,1.280000
0,V,0.960000
0,W,1.120000
0,X,2.720000
0,Y,2.480000
0,Z,1.880000
1,2,1.520000
1,3,1.920000
1,4,2.640000
1,5,1.120000
1,6,2.000000
1,7,2.080000
1,8,2.000000
1,9,2.200000
1,A,2.480000
1,B,2.000000
1,C,1.520000
1,D,1.840000
1,E,1.840000
1,F,2.080000
1,G,2.000000
1,H,2.800000
1,I,0.800000
1,J,0.800000
1,K,2.560000
1,L,1.520000
1,M,2.560000
1,N,2.240000
1,O,1.840000
1,P,2.080000
1,Q,1.880000
1,R,2.320000
1,S,2.080000
1,T,0.960000
1,U,2.160000
1,V,2.160000
1,W,1.680000
1,X,2.640000
1,Y,1.760000
1,Z,1.320000
2,3,1.040000
2,4,2.160000
2,5,0.880000
2,6,1.680000
2,7,2.000000
2,8,1.040000
2,9,1.560000
2,A,2.080000
2,B,1.040000
2,C,1.360000
2,D,1.680000
2,E,1.040000
2,F,1.600000
2,G,1.520000
2,H,2.160000
2,I,2.000000
2,J,1.840000
2,K,2.240000
2,L,2.000000
2,M,2.560000
2,N,2.560000
2,O,1.520000
2,P,1.440000
2,Q,1.560000
2,R,1.680000
2,S,1.120000
2,T,1.840000
2,U,2.160000
2,V,2.160000
2,W,2.000000
2,X,2.000000
2,Y,1.920000
2,Z,1.160000
3,4,1.280000
3,5,1.120000
3,6,1.120000
3,7,1.280000
3,8,0.960000
3,9,1.080000
3,A,1.920000
3,B,0.480000
3,C,1.600000
3,D,1.120000
3,E,0.640000
3,F,1.520000
3,G,0.800000
3,H,1.280000
3,I,2.560000
3,J,2.400000
3,K,2.080000
3,L,1.920000
3,M,1.760000
3,N,1.680000
3,O,1.440000
3,P,1.680000
3,Q,1.400000
3,R,1.280000
3,S,0.400000
3,T,1.920000
3,U,1.280000
3,V,1.600000
3,W,1.440000
3,X,1.920000
3,Y,2.160000
3,Z,1.400000
4,5,1.920000
4,6,1.120000
4,7,1.280000
4,8,1.600000
4,9,0.760000
4,A,1.680000
4,B,1.440000
4,C,2.240000
4,D,2.080000
4,E,1.600000
4,F,1.520000
4,G,1.760000
4,H,0.320000
4,I,2.240000
4,J,2.720000
4,K,1.280000
4,L,1.920000
4,M,1.120000
4,N,1.200000
4,O,2.080000
4,P,1.600000
4,Q,2.040000
4,R,1.280000
4,S,1.360000
4,T,2.240000
4,U,1.280000
4,V,1.280000
4,W,1.280000
4,X,1.360000
4,Y,1.520000
4,Z,2.680000
5,6,1.280000
5,7,2.080000
5,8,1.120000
5,9,1.480000
5,A,2.080000
5,B,1.120000
5,C,1.600000
5,D,1.600000
5,E,1.120000
5,F,1.680000
5,G,1.440000
5,H,2.080000
5,I,1.920000
5,J,1.920000
5,K,2.240000
5,L,1.760000
5,M,2.560000
5,N,2.400000
5,O,1.600000
5,P,1.600000
5,Q,1.560000
5,R,1.440000
5,S,1.200000
5,T,1.920000
5,U,2.080000
5,V,2.080000
5,W,1.920000
5,X,2.000000
5,Y,1.920000
5,Z,1.800000
6,7,2.400000
6,8,1.120000
6,9,1.800000
6,A,1.760000
6,B,0.800000
6,C,1.760000
6,D,1.280000
6,E,0.800000
6,F,1.680000
6,G,0.960000
6,H,0.800000
6,I,2.400000
6,J,1.920000
6,K,1.440000
6,L,0.800000
6,M,1.600000
6,N,1.360000
6,O,1.600000
6,P,1.600000
6,Q,1.560000
6,R,1.440000
6,S,0.880000
6,T,2.720000
6,U,0.800000
6,V,1.120000
6,W,0.960000
6,X,1.680000
6,Y,2.160000
6,Z,2.040000
7,8,1.920000
7,9,0.760000
7,A,1.760000
7,B,1.760000
7,C,1.600000
7,D,1.440000
7,E,1.920000
7,F,1.680000
7,G,1.440000
7,H,1.600000
7,I,1.920000
7,J,2.400000
7,K,2.320000
7,L,2.240000
7,M,1.600000
7,N,1.680000
7,O,1.440000
7,P,1.920000
7,Q,1.560000
7,R,1.600000
7,S,1.680000
7,T,1.280000
7,U,1.600000
7,V,1.600000
7,W,1.920000
7,X,2.080000
7,Y,2.000000
7,Z,1.800000
8,9,1.160000
8,A,1.680000
8,B,0.480000
8,C,1.280000
8,D,0.800000
8,E,0.960000
8,F,1.520000
8,G,1.120000
8,H,1.600000
8,I,2.240000
8,J,2.080000
8,K,2.400000
8,L,1.920000
8,M,2.080000
8,N,2.000000
8,O,0.480000
8,P,1.360000
8,Q,0.680000
8,R,1.280000
8,S,0.880000
8,T,2.240000
8,U,1.600000
8,V,1.280000
8,W,1.440000
8,X,2.400000
8,Y,2.320000
8,Z,2.120000
9,A,1.560000
9,B,1.160000
9,C,1.800000
9,D,1.720000
9,E,1.400000
9,F,1.240000
9,G,1.560000
9,H,1.080000
9,I,2.120000
9,J,2.600000
9,K,1.880000
9,L,2.520000
9,M,1.480000
9,N,1.720000
9,O,1.560000
9,P,1.320000
9,Q,1.520000
9,R,1.000000
9,S,1.160000
9,T,1.720000
9,U,1.960000
9,V,1.960000
9,W,1.960000
9,X,1.720000
9,Y,1.800000
9,Z,2.160000
A,B,1.680000
A,C,2.080000
A,D,1.680000
A,E,1.920000
A,F,1.760000
A,G,1.760000
A,H,1.360000
A,I,2.320000
A,J,2.160000
A,K,1.680000
A,L,2.080000
A,M,1.200000
A,N,1.520000
A,O,1.680000
A,P,1.520000
A,Q,1.480000
A,R,1.280000
A,S,1.840000
A,T,2.640000
A,U,1.840000
A,V,2.160000
A,W,2.000000
A,X,1.840000
A,Y,2.560000
A,Z,2.280000
B,C,1.440000
B,D,0.640000
B,E,0.480000
B,F,1.200000
B,G,0.640000
B,H,1.120000
B,I,2.720000
B,J,2.240000
B,K,1.920000
B,L,1.600000
B,M,1.600000
B,N,1.520000
B,O,0.960000
B,P,1.200000
B,Q,1.000000
B,R,0.960000
B,S,0.400000
B,T,2.240000
B,U,1.120000
B,V,1.280000
B,W,1.120000
B,X,1.920000
B,Y,2.320000
B,Z,1.640000
C,D,1.120000
C,E,0.960000
C,F,1.360000
C,G,0.800000
C,H,2.240000
C,I,1.920000
C,J,1.760000
C,K,2.080000
C,L,0.960000
C,M,2.240000
C,N,2.000000
C,O,0.800000
C,P,1.760000
C,Q,0.920000
C,R,1.760000
C,S,1.360000
C,T,1.600000
C,U,1.280000
C,V,1.280000
C,W,1.600000
C,X,2.560000
C,Y,2.320000
C,Z,1.320000
D,E,1.120000
D,F,1.520000
D,G,0.640000
D,H,1.760000
D,I,2.400000
D,J,1.920000
D,K,2.400000
D,L,1.120000
D,M,1.760000
D,N,1.520000
D,O,0.320000
D,P,1.440000
D,Q,0.680000
D,R,1.440000
D,S,1.040000
D,T,2.080000
D,U,0.800000
D,V,0.800000
D,W,1.120000
D,X,2.560000
D,Y,2.640000
D,Z,1.720000
E,F,0.880000
E,G,0.480000
E,H,1.280000
E,I,2.560000
E,J,2.080000
E,K,1.600000
E,L,1.280000
E,M,1.760000
E,N,1.680000
E,O,1.440000
E,P,1.200000
E,Q,1.400000
E,R,1.120000
E,S,0.400000
E,T,1.920000
E,U,1.280000
E,V,1.600000
E,W,1.440000
E,X,1.920000
E,Y,2.160000
E,Z,1.240000
F,G,1.360000
F,H,1.200000
F,I,2.000000
F,J,1.840000
F,K,1.120000
F,L,1.680000
F,M,1.520000
F,N,1.760000
F,O,1.840000
F,P,0.400000
F,Q,2.040000
F,R,0.720000
F,S,1.280000
F,T,1.360000
F,U,2.000000
F,V,2.000000
F,W,2.000000
F,X,1.680000
F,Y,1.680000
F,Z,1.640000
G,H,1.440000
G,I,2.720000
G,J,2.240000
G,K,2.000000
G,L,1.120000
G,M,1.680000
G,N,1.520000
G,O,0.960000
G,P,1.680000
G,Q,1.000000
G,R,1.440000
G,S,0.560000
G,T,2.080000
G,U,0.800000
G,V,1.120000
G,W,1.280000
G,X,2.160000
G,Y,2.560000
G,Z,1.480000
H,I,2.560000
H,J,2.400000
H,K,0.960000
H,L,1.600000
H,M,0.800000
H,N,0.880000
H,O,2.080000
H,P,1.280000
H,Q,2.040000
H,R,0.960000
H,S,1.200000
H,T,2.560000
H,U,0.960000
H,V,1.280000
H,W,1.120000
H,X,1.120000
H,Y,1.840000
H,Z,2.440000
I,J,0.480000
I,K,2.400000
I,L,1.920000
I,M,2.560000
I,N,2.480000
I,O,2.080000
I,P,2.000000
I,Q,2.280000
I,R,2.400000
I,S,2.800000
I,T,0.640000
I,U,2.560000
I,V,2.240000
I,W,2.080000
I,X,2.720000
I,Y,1.360000
I,Z,1.960000
J,K,2.240000
J,L,1.440000
J,M,2.400000
J,N,2.320000
J,O,1.920000
J,P,1.840000
J,Q,2.120000
J,R,2.240000
J,S,2.480000
J,T,1.120000
J,U,2.080000
J,V,2.080000
J,W,1.760000
J,X,2.560000
J,Y,1.840000
J,Z,1.560000
K,L,1.520000
K,M,1.120000
K,N,1.440000
K,O,2.720000
K,P,1.200000
K,Q,2.360000
K,R,1.200000
K,S,1.760000
K,T,2.320000
K,U,1.680000
K,V,2.000000
K,W,1.760000
K,X,0.960000
K,Y,1.600000
K,Z,1.880000
L,M,1.920000
L,N,1.520000
L,O,1.440000
L,P,1.680000
L,Q,1.560000
L,R,1.760000
L,S,1.680000
L,T,2.240000
L,U,0.640000
L,V,0.960000
L,W,1.120000
L,X,2.080000
L,Y,2.160000
L,Z,1.640000
M,N,0.640000
M,O,2.080000
M,P,1.600000
M,Q,2.040000
M,R,1.440000
M,S,1.600000
M,T,2.240000
M,U,1.280000
M,V,1.600000
M,W,1.280000
M,X,1.440000
M,Y,1.840000
M,Z,2.040000
N,O,1.840000
N,P,1.920000
N,Q,1.720000
N,R,1.680000
N,S,1.600000
N,T,2.320000
N,U,0.880000
N,V,1.200000
N,W,0.880000
N,X,1.680000
N,Y,2.000000
N,Z,2.200000
O,P,1.760000
O,Q,0.360000
O,R,1.760000
O,S,1.360000
O,T,2.080000
O,U,1.120000
O,V,0.800000
O,W,1.280000
O,X,2.880000
O,Y,2.640000
O,Z,2.040000
P,Q,1.960000
P,R,0.560000
P,S,1.440000
P,T,1.760000
P,U,2.160000
P,V,2.160000
P,W,2.160000
P,X,1.600000
P,Y,1.600000
P,Z,1.800000
Q,R,1.640000
Q,S,1.320000
Q,T,2.280000
Q,U,1.240000
Q,V,1.160000
Q,W,1.320000
Q,X,2.680000
Q,Y,2.760000
Q,Z,2.080000
R,S,1.200000
R,T,2.080000
R,U,1.920000
R,V,2.240000
R,W,2.080000
R,X,1.360000
R,Y,2.160000
R,Z,1.960000
S,T,2.160000
S,U,1.200000
S,V,1.520000
S,W,1.360000
S,X,1.680000
S,Y,2.240000
S,Z,1.320000
T,U,2.560000
T,V,2.240000
T,W,2.080000
T,X,2.560000
T,Y,1.200000
T,Z,1.320000
U,V,0.320000
U,W,0.480000
U,X,1.920000
U,Y,2.320000
U,Z,1.880000
V,W,0.480000
V,X,2.240000
V,Y,2.000000
V,Z,2.200000
W,X,2.080000
W,Y,1.840000
W,Z,1.960000
X,Y,1.360000
X,Z,1.800000
Y,Z,1.960000
